Scheduled_Arrival_(2020),Trip Count (2020),Dependency Avg (2020),Load Factor Avg (2020)
ACA,3,100.0,73.2
AGU,106,85.8,77.0
ANU,88,89.8,52.2
AUA,92,83.5,51.1
BJX,148,78.4,73.7
CUN,824,84.7,71.01
CUU,98,88.8,42.1
CZM,92,71.55,48.0
DGO,84,85.7,61.9
ELH,16,81.3,66.4
GDL,194,66.15,77.25
GGT,16,81.3,64.6
GRU,18,44.4,49.1
GYE,71,62.0,74.0
HMO,58,96.6,21.0
HUX,8,100.0,25.3
KIN,78,66.7,66.5
MBJ,264,71.67,48.53
MEX,500,81.2,48.46
MID,56,98.2,28.8
MLM,92,79.3,78.4
MTY,153,92.45,34.2
MZT,83,89.2,47.3
NAS,47,69.7,28.0
OAX,14,85.7,41.0
PAP,56,58.9,82.0
PLS,82,89.35,35.1
POP,56,89.3,48.9
PUJ,95,77.75,64.25
PVR,230,78.37,61.67
QRO,84,79.8,73.5
RTB,2,50.0,80.3
SAP,8,62.5,72.9
SCL,16,62.5,16.7
SDQ,168,83.3,64.0
SJD,476,87.72,51.28
SJO,2,0.0,61.9
SLP,106,87.7,59.4
STI,56,85.7,77.6
SVD,8,75.0,57.9
SXM,46,73.65,23.95
TGU,6,83.3,71.6
TRC,59,84.7,28.9
UIO,71,76.1,73.4
UVF,46,93.5,36.5
ZCL,23,95.7,53.7
ZIH,3,0.0,44.2
